rest_id,kind,name,address,area_m2,lon,lat,source_file
R-00161,cool_shelter,새마을금고금천중앙,서울특별시 금천구 가산로 52 (독산동),14.0,126.8971619,37.4717225,03_seoul_cool_shelter.csv
R-00162,cool_shelter,못골도서관,서울특별시 강남구 자곡로 116 (자곡동),33.0,127.096347,37.4717289,03_seoul_cool_shelter.csv
R-00163,cool_shelter,방죽2경로당,서울특별시 강남구 밤고개로23길 14-31,180.0,127.1096964,37.4717861,03_seoul_cool_shelter.csv
R-00164,cool_shelter,약수경로당,서울특별시 관악구 미성길 123,160.2,126.912226,37.471838,03_seoul_cool_shelter.csv
R-00165,cool_shelter,방배팔일경로당,서울특별시 서초구 과천대로 908 (방배에스에이치빌아파트 101동),34.0,126.983521,37.472065,03_seoul_cool_shelter.csv
R-00166,cool_shelter,강남공인중개사사무소,서울특별시 서초구 강남대로18길 5,,127.039149,37.472067,03_seoul_cool_shelter.csv
R-00167,cool_shelter,서림경로당,서울특별시 관악구  서림3길  47   (신림동),52.0,126.9406227,37.472323,03_seoul_cool_shelter.csv
R-00168,cool_shelter,낙성대현대(아)경로당,서울특별시 관악구 남부순환로248길 56 (낙성대현대아파트),142.0,126.965824,37.472371,03_seoul_cool_shelter.csv
R-00169,cool_shelter,방배래미안경로당,서울특별시 서초구 방배선행길 2 (방배래미안아파트 관리.노인정),40.0,126.983982,37.472644,03_seoul_cool_shelter.csv
R-00170,cool_shelter,우정경로당,서울특별시 금천구 두산로3길 49,180.21,126.8887064,37.4726854,03_seoul_cool_shelter.csv
R-00171,cool_shelter,관수경로당,서울특별시 관악구 승방3나길 14,63.0,126.98054,37.47288,03_seoul_cool_shelter.csv
R-00172,cool_shelter,관악구민종합체육센터,서울특별시 관악구 낙성대로3길 37 (관악구민종합체육센터),435.0,126.960093,37.472922,03_seoul_cool_shelter.csv
R-00173,cool_shelter,동산경로당,서울특별시 금천구 독산로54길 247,110.7,126.9059886,37.4729248,03_seoul_cool_shelter.csv
R-00174,cool_shelter,복숭아마을수다방,서울특별시 금천구 시흥대로139길 28 (독산동),53.68,126.896518,37.472971,03_seoul_cool_shelter.csv
R-00175,cool_shelter,신림동부센트레빌(아)경로당,서울특별시 관악구 미성3길 16 (신림 동부센트레빌 103동),103.0,126.916342,37.473138,03_seoul_cool_shelter.csv
